photo_ID,region,marina,company,photo_type,day,month,year,M_mahi_gaffers,F_mahi_gaffers,mahi_bailers,wahoo,Blackfin Tuna,Kingfish,Bonita,Blue Runners,Yellowtail Snapper,African Pompano,Tripletail,Rainbow Runner,Amberjack/Banded Rudderfish/Almaco Jack,Cero/Spanish Mackerel,Red Grouper,Skipjack Tuna,Golden Tilefish,Mangrove_Snapper,Mutton Snapper,Vermillion Snapper,Black Grouper,Yellow Jack,Blackbelly Rosefish,Barracuda,Snowy Grouper,Silk Snapper,Porgies,Red Snapper,Sailfish,Atlantic Bonito,Triggerfish,Notes
,South Florida,Deerfield Beach,Bolo Sportfishing,Layout,30,3,2019,,,1,,3,,,,,,,,,,,,3,,,,,,1,,,,,,,,,
,South Florida,Deerfield Beach,Bolo Sportfishing,Layout,31,3,2019,,,,2,,1,9,,,,,,,,,,,,,,,,,,,,,,,,,
,South Florida,Deerfield Beach,Bolo Sportfishing,Layout,1,4,2019,,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,South Florida,Deerfield Beach,Bolo Sportfishing,Layout,1,4,2019,1,,4,,,,2,,,,,,,,,,,,,4,,,2,2,,4,,1,,,,
,South Florida,Deerfield Beach,Bolo Sportfishing,Layout,2,4,2019,,,4,,,,1,,,,,,,,,,2,,,,,,1,,,,,,,,,
,South Florida,Deerfield Beach,Bolo Sportfishing,Layout,3,4,2019,,,,1,,1,2,,,,,,,,,1,,,,,,,,,,,,,,,,
,South Florida,Deerfield Beach,Bolo Sportfishing,Layout,4,4,2019,,,,1,,,,,,,,,,,,1,1,,,,,,8,,,,,,,,,
,South Florida,Deerfield Beach,Bolo Sportfishing,Layout,7,4,2019,,1,2,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,
,South Florida,Deerfield Beach,Bolo Sportfishing,Layout,7,4,2019,,,,3,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,
,South Florida,Deerfield Beach,Bolo Sportfishing,Layout,12,4,2019,1,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
,South Florida,Deerfield Beach,Bolo Sportfishing,Layout,13,4,2019,,,1,,1,2,8,,,,,,,,,,,,,,,,,,,,,,,,,
,South Florida,Deerfield Beach,Bolo Sportfishing,Layout,15,4,2019,,,,2,2,,6,,,,,,,,,,,,,,,,,,,,,,,,,
,South Florida,Deerfield Beach,Bolo Sportfishing,Layout,15,4,2019,,,,6,1,,11,,,,,,6,,,,,,,,,,,1,,,,,,,,
,South Florida,Deerfield Beach,Bolo Sportfishing,Layout,17,4,2019,1,,1,,3,1,15,,,,,,,,,,,,,,,,,,,,,,,,,
,South Florida,Deerfield Beach,Bolo Sportfishing,Layout,18,4,2019,,1,1,,2,,22,,,,,,,,,,,,,,,,,,,,,,,,,
,South Florida,Deerfield Beach,Bolo Sportfishing,Layout,18,4,2019,,,2,,4,,1,,,,,,,,,,,,,,,,,,,,,,,,,
,South Florida,Deerfield Beach,Bolo Sportfishing,Layout,25,4,2019,,,1,,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,South Florida,Deerfield Beach,Bolo Sportfishing,Layout,14,5,2019,1,,2,,1,7,3,,,,,,,,,,,,,,,,,,,,,,,,,
,South Florida,Deerfield Beach,Bolo Sportfishing,Layout,16,5,2019,,,3,,7,2,4,,,,,,,,,,,,,,,,,,,,,,,1,,
,South Florida,Deerfield Beach,Bolo Sportfishing,Layout,16,5,2019,1,,,,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,
,South Florida,Deerfield Beach,Bolo Sportfishing,Layout,17,5,2019,,1,1,,,6,4,,,,,,,,,,,,,,,,,1,,,,,,,,
,South Florida,Deerfield Beach,Bolo Sportfishing,Layout,17,5,2019,,2,,,1,4,4,,,,,,,,,,,,,,,,,,,,,,,,,
,South Florida,Deerfield Beach,Bolo Sportfishing,Layout,18,5,2019,,,1,,3,9,1,,,,,,,,,,,,,,,,,,,,,,,,,
,South Florida,Deerfield Beach,Bolo Sportfishing,Layout,22,5,2019,1,,,,,8,1,,,,,,,,,,,,,,,,,,,,,,,,,
,South Florida,Deerfield Beach,Bolo Sportfishing,Layout,23,5,2019,,,,1,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,
,South Florida,Deerfield Beach,Bolo Sportfishing,Layout,8,6,2019,,,1,,5,6,8,,,,,,,,,,,,,,,,,,,,,,,,,
,South Florida,Deerfield Beach,Bolo Sportfishing,Layout,11,6,2019,1,,1,,4,,2,,,,,,,,,,,,,,,,,1,,,,,,,,
,South Florida,Deerfield Beach,Bolo Sportfishing,Layout,15,6,2019,,,2,,1,4,12,,,,,,,,,,,,,,,,,,,,,,,,,
,South Florida,Deerfield Beach,Bolo Sportfishing,Layout,16,6,2019,1,1,2,,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,
,South Florida,Deerfield Beach,Bolo Sportfishing,Layout,19,6,2019,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,South Florida,Deerfield Beach,Bolo Sportfishing,Layout,20,6,2019,,,,1,,10,3,,,,,,,,,,,,,,,,,,,,,,,,,
,South Florida,Deerfield Beach,Bolo Sportfishing,Layout,21,6,2019,,,13,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,South Florida,Deerfield Beach,Bolo Sportfishing,Layout,25,6,2019,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,South Florida,Deerfield Beach,Bolo Sportfishing,Layout,28,6,2019,,,14,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,
,South Florida,Deerfield Beach,Bolo Sportfishing,Layout,2,7,2019,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,South Florida,Deerfield Beach,Bolo Sportfishing,Layout,5,7,2019,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,South Florida,Deerfield Beach,Bolo Sportfishing,Layout,6,7,2019,,,1,,,1,7,,,,,,,,,,,,,,,,,,,,,,,,,
,South Florida,Deerfield Beach,Bolo Sportfishing,Layout,6,7,2019,1,,2,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,
,South Florida,Deerfield Beach,Bolo Sportfishing,Layout,10,7,2019,1,,24,,,,,,,,,,3,,,,,,,,,,,1,,,,,,,,
,South Florida,Deerfield Beach,Bolo Sportfishing,Layout,12,7,2019,,,,1,,8,2,,,,,,,,,,,,,,,,,,,,,,,,,
,South Florida,Deerfield Beach,Bolo Sportfishing,Layout,14,7,2019,,1,7,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,
,South Florida,Deerfield Beach,Bolo Sportfishing,Layout,25,7,2019,,,,1,,2,1,1,33,,,,8,,,,,,,,,,,,,,6,,,,,"There could be 1-7 moreyellowtail, 1-3 more amberjacks & porgies"
,South Florida,Deerfield Beach,Bolo Sportfishing,Layout,31,7,2019,,,4,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,
,South Florida,Deerfield Beach,Bolo Sportfishing,Layout,2,8,2019,,1,7,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,
,South Florida,Deerfield Beach,Bolo Sportfishing,Layout,2,8,2019,,,6,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
,South Florida,Deerfield Beach,Bolo Sportfishing,Layout,2,8,2019,,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
,South Florida,Deerfield Beach,Bolo Sportfishing,Layout,6,8,2019,,,,1,,2,11,,,,,,,,,,,,,,,,,,,,,,,,,
,South Florida,Deerfield Beach,Bolo Sportfishing,Layout,9,8,2019,2,2,10,,,1,,,,,,,2,,,,,,,,,,,,,,,,,,,
,South Florida,Deerfield Beach,Bolo Sportfishing,Layout,9,8,2019,,,1,,,,,,,,,,1,,,,,,,2,,,,,,2,,,,,,
,South Florida,Deerfield Beach,Bolo Sportfishing,Layout,14,8,2019,,,,2,,2,14,,,,,,,,,,,,,,,,,,,,,,,,,
,South Florida,Deerfield Beach,Bolo Sportfishing,Layout,13,8,2019,,,6,,,,,,,,,,,,,,,,,1,,,,,,5,1,,,,,
,South Florida,Deerfield Beach,Bolo Sportfishing,Layout,15,8,2019,,,,2,,1,10,,,,,,,,,,,,,,,,,,,,,,,,,
,South Florida,Deerfield Beach,Bolo Sportfishing,Layout,20,8,2019,,,,1,2,5,5,,,,,,,,,,,,,,,,,,,,,,,,,
,South Florida,Deerfield Beach,Bolo Sportfishing,Layout,21,8,2019,,,1,,1,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
,South Florida,Deerfield Beach,Bolo Sportfishing,Layout,28,8,2019,,,6,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,South Florida,Deerfield Beach,Bolo Sportfishing,Layout,5,9,2019,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,South Florida,Deerfield Beach,Bolo Sportfishing,Layout,13,9,2019,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,South Florida,Deerfield Beach,Bolo Sportfishing,Layout,13,9,2019,,,3,,,,6,,,,,,,,,,,,,,,,,1,,,,,,,,
,South Florida,Deerfield Beach,Bolo Sportfishing,Layout,16,9,2019,,1,6,,,1,14,,,,,,,,,,,,,,,,,,,,,,,,,
,South Florida,Deerfield Beach,Bolo Sportfishing,Layout,17,9,2019,,1,,,,,1,,,,,,,,,,,,,4,,,,1,,,,,,,1,
,South Florida,Deerfield Beach,Bolo Sportfishing,Layout,18,9,2019,1,,4,,,1,5,2,,,,,,,,,,,,,,,,,,,,,,,,
,South Florida,Deerfield Beach,Bolo Sportfishing,Layout,19,9,2019,1,,12,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
,South Florida,Deerfield Beach,Bolo Sportfishing,Layout,23,9,2019,3,,19,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
,South Florida,Deerfield Beach,Bolo Sportfishing,Layout,24,9,2019,,1,10,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,
,South Florida,Deerfield Beach,Bolo Sportfishing,Layout,24,9,2019,,,17,,,,2,,,,,,,,,1,,,,,,,,,,,,,,,,
,South Florida,Deerfield Beach,Bolo Sportfishing,Layout,25,9,2019,,,10,,,,,,,,,,,,,3,,,,,,,,,,,,,1,,,
,South Florida,Deerfield Beach,Bolo Sportfishing,Layout,25,9,2019,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,South Florida,Deerfield Beach,Bolo Sportfishing,Layout,26,9,2019,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,South Florida,Deerfield Beach,Bolo Sportfishing,Layout,27,9,2019,1,2,4,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,
,South Florida,Deerfield Beach,Bolo Sportfishing,Layout,27,9,2019,,,2,,1,,,,,,,,1,,,,,,,12,,,,,,,,,,,,
,South Florida,Deerfield Beach,Bolo Sportfishing,Layout,28,9,2019,,,3,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,South Florida,Deerfield Beach,Bolo Sportfishing,Layout,28,9,2019,,,7,3,3,,,,,,,1,1,,,,,,,16,,,,,,,,,,,,
,South Florida,Deerfield Beach,Bolo Sportfishing,Layout,29,9,2019,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,South Florida,Deerfield Beach,Bolo Sportfishing,Layout,29,9,2019,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,South Florida,Deerfield Beach,Bolo Sportfishing,Layout,30,9,2019,,1,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,
,South Florida,Deerfield Beach,Bolo Sportfishing,Layout,30,9,2019,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,South Florida,Deerfield Beach,Bolo Sportfishing,Layout,30,9,2019,1,,7,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,
,South Florida,Deerfield Beach,Bolo Sportfishing,Layout,2,10,2019,1,,14,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,
,South Florida,Deerfield Beach,Bolo Sportfishing,Layout,2,10,2019,1,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,South Florida,Deerfield Beach,Bolo Sportfishing,Layout,3,10,2019,1,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
,South Florida,Deerfield Beach,Bolo Sportfishing,Layout,3,10,2019,,,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,South Florida,Deerfield Beach,Bolo Sportfishing,Layout,4,10,2019,1,,,,,,7,,,,,1,,,,,,,,,,,,,,,,,,,,
,South Florida,Deerfield Beach,Bolo Sportfishing,Layout,4,10,2019,,1,,,,,4,,,,,,1,,,,,,,8,,,,1,,,1,,,,,
,South Florida,Deerfield Beach,Bolo Sportfishing,Layout,4,10,2019,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,South Florida,Deerfield Beach,Bolo Sportfishing,Layout,7,10,2019,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,South Florida,Deerfield Beach,Bolo Sportfishing,Layout,7,10,2019,,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,South Florida,Deerfield Beach,Bolo Sportfishing,Layout,9,10,2019,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,South Florida,Deerfield Beach,Bolo Sportfishing,Layout,15,10,2019,1,2,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,
,South Florida,Deerfield Beach,Bolo Sportfishing,Layout,15,10,2019,,1,2,,,,,,,,,,,,,,,,,1,2,,2,,,,,,,,,
,South Florida,Deerfield Beach,Bolo Sportfishing,Layout,17,10,2019,,1,,1,,,,,,,,,,,,,,,,2,,,,,,,,,,,,
,South Florida,Deerfield Beach,Bolo Sportfishing,Layout,21,10,2019,,,5,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,
,South Florida,Deerfield Beach,Bolo Sportfishing,Layout,22,10,2019,,,1,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
,South Florida,Deerfield Beach,Bolo Sportfishing,Layout,25,10,2019,,3,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
,South Florida,Deerfield Beach,Bolo Sportfishing,Layout,28,10,2019,,,10,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,
,South Florida,Deerfield Beach,Bolo Sportfishing,Layout,30,10,2019,,1,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,South Florida,Deerfield Beach,Bolo Sportfishing,Layout,1,11,2019,,,1,1,10,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
