"region","marina","company","photo_type","photo_ID","day","month","year","Unk_Mahi","M_mahi_gaffers","F_mahi_gaffers","mahi_bailers","wahoo","Kingfish","Triggerfish","Tilefish","Rainbow_Runner","Amberjack_Complex","Barracuda","Cobia","Bluefish","Spanish_Mackerel","Swordfish","Blackbelly_Rosefish","Sailfish","tunas","groupers"
"Virginia ","Virginia Beach Fishing Center","Fleet","Layout","91517",15,9,2017,10,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"North Carolina","Oregon Inlet Fishing Center","","Layout","90919",9,9,2019,25,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0
"North Carolina","Hatteras ","Bite Me Sportfishing","Layout","52719",27,5,2019,10,6,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"North Carolina","Oregon Inlet Fishing Center","","Layout","073019_1",30,7,2019,6,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
"North Carolina","Pirate's Cove Marina","","Layout","62020",20,6,2020,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0
"North Carolina","Pirate's Cove Marina","","Layout","61619",16,6,2019,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
"North Carolina","Pirate's Cove Marina","","Layout","051020_2",10,5,2020,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0
"North Carolina","Hatteras Harbor Marina","","Layout","102519(3)",25,10,2019,6,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"North Carolina","Pirate's Cove Marina","","Layout","052819_6",28,5,2019,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"North Carolina","Pirate's Cove Marina","","Layout","71219",12,7,2019,9,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
"North Carolina","Pirate's Cove Marina","","Layout","082819_2",28,8,2019,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,28,0
"North Carolina","Pirate's Cove Marina","","Layout","070619_3",6,7,2019,1,0,0,58,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0
"North Carolina","Pirate's Cove Marina","","Layout","061619_6",16,6,2019,8,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"North Carolina","Pirate's Cove Marina","","Layout","051719_3",17,5,2019,20,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"North Carolina","Hatteras Harbor Marina","","Layout","052420(9)",24,5,2020,11,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,5,0
"North Carolina","Pirate's Cove Marina","","Layout","70619",6,7,2019,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0
"North Carolina","Hatteras Harbor Marina","","Layout","060120(3)",1,6,2020,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"North Carolina","Oregon Inlet Fishing Center","","Layout","060820_1",8,6,2020,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
"North Carolina","Oregon Inlet Fishing Center","","Layout","63019",30,6,2019,10,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"North Carolina","Oregon Inlet Fishing Center","","Layout","101519",15,10,2019,0,0,0,45,1,0,0,0,0,0,0,0,0,0,0,0,0,15,0
"North Carolina","Hatteras Harbor Marina","","Layout","61420",14,6,2020,2,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,5,0
"North Carolina","Pirate's Cove Marina","","Layout","50219",2,5,2019,5,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0
"North Carolina","Pirate's Cove Marina","","Layout","70720",7,7,2020,30,0,0,15,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"North Carolina","Pirate's Cove Marina","","Layout","060719_2",7,6,2019,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"Virginia ","Virginia Beach Fishing Center","Fleet","Layout","061619_2",16,6,2019,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
"North Carolina","Hatteras ","Bite Me Sportfishing","Layout","81319",13,8,2019,1,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"North Carolina","Hatteras Harbor Marina","","Layout","052320(6)",23,5,2020,21,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"North Carolina","Pirate's Cove Marina","","Layout","060219_2",2,6,2019,12,0,0,12,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0
"North Carolina","Oregon Inlet Fishing Center","","Layout","61419",14,6,2019,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
"North Carolina","Hatteras ","Bite Me Sportfishing","Layout","50819",8,5,2019,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"North Carolina","Hatteras Harbor Marina","","Layout","062220(4)",22,6,2020,2,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"North Carolina","Pirate's Cove Marina","","Layout","071719_3",17,7,2019,1,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"North Carolina","Pirate's Cove Marina","","Layout","62619",26,6,2019,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0
"North Carolina","Sensational Sportfishing","","Layout","101919 - 90.5lb",19,10,2019,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"North Carolina","Pirate's Cove Marina","","Layout","62020",20,6,2020,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0
"North Carolina","Hatteras Harbor Marina","","Layout","070220(3)",2,7,2020,7,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"North Carolina","Pirate's Cove Marina","","Layout","092119_2",21,9,2019,10,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"North Carolina","Pirate's Cove Marina","","Layout","60420(2)",4,6,2020,25,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"North Carolina","Hatteras Harbor Marina","","Layout","062120(7)",21,6,2020,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
"North Carolina","Hatteras Harbor Marina","","Layout","070820(2)",8,7,2020,12,0,0,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"North Carolina","Oregon Inlet Fishing Center","","Layout","80219",2,8,2019,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
"North Carolina","Pirate's Cove Marina","","Layout","70620",6,7,2020,0,0,0,34,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"North Carolina","Pirate's Cove Marina","","Layout","052919_4",29,5,2019,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Virginia ","Virginia Beach Fishing Center","Fleet","Layout","61718",17,6,2018,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
"Virginia ","Virginia Beach Fishing Center","Fleet","Layout","060917_2",9,6,2017,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
"North Carolina","Pirate's Cove Marina","","Layout","041119_2",11,4,2019,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0
"North Carolina","Pirate's Cove Marina","","Layout","101419",14,10,2019,8,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"North Carolina","Pirate's Cove Marina","","Layout","61219",12,6,2019,1,0,0,0,1,0,0,0,0,0,0,0,27,0,0,0,0,2,0
"North Carolina","Hatteras Harbor Marina","","Layout","060520(4)",5,6,2020,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"North Carolina","Pirate's Cove Marina","","Layout","062419_2",24,6,2019,2,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,3
"region","marina","company","photo_type","photo_ID","day","month","year","Unk_Mahi","M_mahi_gaffers","F_mahi_gaffers","mahi_bailers","wahoo","Kingfish","Triggerfish","Tilefish","Rainbow_Runner","Amberjack_Complex","Barracuda","Cobia","Bluefish","Spanish_Mackerel","Swordfish","Blackbelly_Rosefish","Sailfish","tunas","groupers"
"Virginia ","Virginia Beach Fishing Center","Fleet","Layout","061017_2",10,6,2017,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0
"North Carolina","Pirate's Cove Marina","","Layout","062620_2",26,6,2020,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
"North Carolina","Pirate's Cove Marina","","Layout","070619_5",6,7,2019,2,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
"North Carolina","Pirate's Cove Marina","","Layout","70319",3,7,2019,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"North Carolina","Hatteras Harbor Marina","","Layout","070420(3)",4,7,2020,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"North Carolina","Pirate's Cove Marina","","Layout","61719",17,6,2019,6,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"North Carolina","Oregon Inlet Fishing Center","","Layout","052019_4",20,5,2019,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Virginia ","Virginia Beach Fishing Center","Fleet","Layout","091717_3",17,9,2017,30,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"North Carolina","Hatteras Harbor Marina","","Layout","110219(2)",2,11,2019,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"North Carolina","Oregon Inlet Fishing Center","","Layout","052520_2",25,5,2020,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
"North Carolina","Pirate's Cove Marina","","Layout","62519",25,6,2019,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
"North Carolina","Pirate's Cove Marina","","Layout","50219",2,5,2019,5,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0
"North Carolina","Pirate's Cove Marina","","Layout","080519_4",5,8,2019,20,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
"North Carolina","Oregon Inlet Fishing Center","","Layout","052320_6",23,5,2020,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
"North Carolina","Hatteras Harbor Marina","","Layout","060220(5)",2,6,2020,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"North Carolina","Hatteras Harbor Marina","","Layout","62820",28,6,2020,2,1,0,0,0,0,0,12,0,1,0,0,0,0,0,0,0,0,1
"North Carolina","Pirate's Cove Marina","","Layout","062120_2",21,6,2020,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0
